34,63
47,1
5,31
93,9
91,64
57,45
55,44
2,40
46,3
32,29
99,83
8,27
87,93
92,38
39,83
72,2
66,86
5,70
44,73
18,43
59,76
88,80
75,13
64,11
49,20
23,9
77,94
92,5
11,91
70,0
39,42
32,61
79,90
54,53
90,89
70,47
39,70
72,95
77,61
3,41
80,19
74,83
63,61
66,88
94,60
78,63
14,25
17,86
65,16
52,89
36,40
73,21
4,10
76,29
12,93
54,86
33,93
53,56
36,39
14,6
75,94
49,32
51,9
90,0
30,76
29,3
85,1
11,88
73,37
29,48
49,22
77,8
55,67
32,12
59,43
86,73
18,26
48,74
0,32
9,98
69,40
57,1
80,94
30,50
59,32
47,19
75,71
23,71
7,94
28,79
78,59
37,19
7,85
3,12
76,44
86,64
45,55
43,27
58,37
75,67
58,79
12,39
28,39
55,68
37,88
23,2
6,21
61,35
14,89
29,62
95,34
22,26
63,22
29,58
78,61
29,96
50,5
86,47
84,1
